"","histname","longname","year","histcode","franchise","so","g"
"678"," Cincinnati Reds","1943 Cincinnati Reds",1943,"CIN","CIN",481,155
"679"," Cleveland Indians","1943 Cleveland Indians",1943,"CLE","CLE",519,153
"680"," Detroit Tigers","1943 Detroit Tigers",1943,"DET","DET",552,155
"681"," Brooklyn Dodgers","1943 Brooklyn Dodgers",1943,"BRO","LAD",420,153
"682"," Washington Senators","1943 Washington Senators",1943,"WSH","MIN",574,153
"683"," New York Yankees","1943 New York Yankees",1943,"NYY","NYY",561,155
"684"," Philadelphia Athletics","1943 Philadelphia Athletics",1943,"PHA","OAK",465,155
"685"," Philadelphia Phillies","1943 Philadelphia Phillies",1943,"PHI","PHI",553,157
"686"," Pittsburgh Pirates","1943 Pittsburgh Pirates",1943,"PIT","PIT",566,157
"687"," New York Giants","1943 New York Giants",1943,"NYG","SFG",466,156
"688"," St. Louis Cardinals","1943 St. Louis Cardinals",1943,"STL","STL",437,157
"689"," Boston Braves","1944 Boston Braves",1944,"BSN","ATL",507,155
"690"," St. Louis Browns","1944 St. Louis Browns",1944,"SLB","BAL",603,154
"691"," Boston Red Sox","1944 Boston Red Sox",1944,"BOS","BOS",502,156
"692"," Chicago Cubs","1944 Chicago Cubs",1944,"CHC","CHC",521,157
"693"," Chicago White Sox","1944 Chicago White Sox",1944,"CHW","CHW",448,154
"694"," Cincinnati Reds","1944 Cincinnati Reds",1944,"CIN","CIN",390,155
"695"," Cleveland Indians","1944 Cleveland Indians",1944,"CLE","CLE",594,155
"696"," Detroit Tigers","1944 Detroit Tigers",1944,"DET","DET",500,156
"697"," Brooklyn Dodgers","1944 Brooklyn Dodgers",1944,"BRO","LAD",453,155
"698"," Washington Senators","1944 Washington Senators",1944,"WSH","MIN",476,154
"699"," New York Yankees","1944 New York Yankees",1944,"NYY","NYY",626,154
"700"," Philadelphia Athletics","1944 Philadelphia Athletics",1944,"PHA","OAK",490,155
"701"," Philadelphia Phillies","1944 Philadelphia Phillies",1944,"PHI","PHI",509,154
"702"," Pittsburgh Pirates","1944 Pittsburgh Pirates",1944,"PIT","PIT",616,158
"703"," New York Giants","1944 New York Giants",1944,"NYG","SFG",480,155
"704"," St. Louis Cardinals","1944 St. Louis Cardinals",1944,"STL","STL",471,157
"705"," Boston Braves","1945 Boston Braves",1945,"BSN","ATL",511,154
"706"," St. Louis Browns","1945 St. Louis Browns",1945,"SLB","BAL",555,154
"707"," Boston Red Sox","1945 Boston Red Sox",1945,"BOS","BOS",534,157
"708"," Chicago Cubs","1945 Chicago Cubs",1945,"CHC","CHC",462,155
"709"," Chicago White Sox","1945 Chicago White Sox",1945,"CHW","CHW",467,150
"710"," Cincinnati Reds","1945 Cincinnati Reds",1945,"CIN","CIN",532,154
"711"," Cleveland Indians","1945 Cleveland Indians",1945,"CLE","CLE",577,147
"712"," Detroit Tigers","1945 Detroit Tigers",1945,"DET","DET",533,155
"713"," Brooklyn Dodgers","1945 Brooklyn Dodgers",1945,"BRO","LAD",433,155
"714"," Washington Senators","1945 Washington Senators",1945,"WSH","MIN",488,156
"715"," New York Yankees","1945 New York Yankees",1945,"NYY","NYY",566,152
"716"," Philadelphia Athletics","1945 Philadelphia Athletics",1945,"PHA","OAK",460,153
"717"," Philadelphia Phillies","1945 Philadelphia Phillies",1945,"PHI","PHI",501,154
"718"," Pittsburgh Pirates","1945 Pittsburgh Pirates",1945,"PIT","PIT",481,155
"719"," New York Giants","1945 New York Giants",1945,"NYG","SFG",457,154
"720"," St. Louis Cardinals","1945 St. Louis Cardinals",1945,"STL","STL",488,155
"721"," Boston Braves","1946 Boston Braves",1946,"BSN","ATL",466,154
"722"," St. Louis Browns","1946 St. Louis Browns",1946,"SLB","BAL",713,156
"723"," Boston Red Sox","1946 Boston Red Sox",1946,"BOS","BOS",661,156
"724"," Chicago Cubs","1946 Chicago Cubs",1946,"CHC","CHC",599,155
"725"," Chicago White Sox","1946 Chicago White Sox",1946,"CHW","CHW",602,155
"726"," Cincinnati Reds","1946 Cincinnati Reds",1946,"CIN","CIN",603,156
"727"," Cleveland Indians","1946 Cleveland Indians",1946,"CLE","CLE",696,156
"728"," Detroit Tigers","1946 Detroit Tigers",1946,"DET","DET",616,155
"729"," Brooklyn Dodgers","1946 Brooklyn Dodgers",1946,"BRO","LAD",575,157
"730"," Washington Senators","1946 Washington Senators",1946,"WSH","MIN",638,155
"731"," New York Yankees","1946 New York Yankees",1946,"NYY","NYY",705,154
"732"," Philadelphia Athletics","1946 Philadelphia Athletics",1946,"PHA","OAK",596,155
"733"," Philadelphia Phillies","1946 Philadelphia Phillies",1946,"PHI","PHI",590,155
"734"," Pittsburgh Pirates","1946 Pittsburgh Pirates",1946,"PIT","PIT",555,155
"735"," New York Giants","1946 New York Giants",1946,"NYG","SFG",546,154
"736"," St. Louis Cardinals","1946 St. Louis Cardinals",1946,"STL","STL",537,156
"737"," Boston Braves","1947 Boston Braves",1947,"BSN","ATL",502,154
"738"," St. Louis Browns","1947 St. Louis Browns",1947,"SLB","BAL",663,154
"739"," Boston Red Sox","1947 Boston Red Sox",1947,"BOS","BOS",589,157
"740"," Chicago Cubs","1947 Chicago Cubs",1947,"CHC","CHC",578,155
"741"," Chicago White Sox","1947 Chicago White Sox",1947,"CHW","CHW",528,155
"742"," Cincinnati Reds","1947 Cincinnati Reds",1947,"CIN","CIN",530,154
"743"," Cleveland Indians","1947 Cleveland Indians",1947,"CLE","CLE",607,157
"744"," Detroit Tigers","1947 Detroit Tigers",1947,"DET","DET",563,158
"745"," Brooklyn Dodgers","1947 Brooklyn Dodgers",1947,"BRO","LAD",561,155
"746"," Washington Senators","1947 Washington Senators",1947,"WSH","MIN",534,154
"747"," New York Yankees","1947 New York Yankees",1947,"NYY","NYY",581,155
"748"," Philadelphia Athletics","1947 Philadelphia Athletics",1947,"PHA","OAK",563,156
"749"," Philadelphia Phillies","1947 Philadelphia Phillies",1947,"PHI","PHI",593,155
"750"," Pittsburgh Pirates","1947 Pittsburgh Pirates",1947,"PIT","PIT",684,156
"751"," New York Giants","1947 New York Giants",1947,"NYG","SFG",570,155
"752"," St. Louis Cardinals","1947 St. Louis Cardinals",1947,"STL","STL",511,156
"753"," Boston Braves","1948 Boston Braves",1948,"BSN","ATL",537,154
"754"," St. Louis Browns","1948 St. Louis Browns",1948,"SLB","BAL",571,155
"755"," Boston Red Sox","1948 Boston Red Sox",1948,"BOS","BOS",549,155
"756"," Chicago Cubs","1948 Chicago Cubs",1948,"CHC","CHC",574,155
"757"," Chicago White Sox","1948 Chicago White Sox",1948,"CHW","CHW",528,154
"758"," Cincinnati Reds","1948 Cincinnati Reds",1948,"CIN","CIN",582,153
"759"," Cleveland Indians","1948 Cleveland Indians",1948,"CLE","CLE",575,156
"760"," Detroit Tigers","1948 Detroit Tigers",1948,"DET","DET",504,154
"761"," Brooklyn Dodgers","1948 Brooklyn Dodgers",1948,"BRO","LAD",685,155
"762"," Washington Senators","1948 Washington Senators",1948,"WSH","MIN",570,154
"763"," New York Yankees","1948 New York Yankees",1948,"NYY","NYY",478,154
"764"," Philadelphia Athletics","1948 Philadelphia Athletics",1948,"PHA","OAK",523,154
"765"," Philadelphia Phillies","1948 Philadelphia Phillies",1948,"PHI","PHI",596,155
"766"," Pittsburgh Pirates","1948 Pittsburgh Pirates",1948,"PIT","PIT",578,156
"767"," New York Giants","1948 New York Giants",1948,"NYG","SFG",643,155
"768"," St. Louis Cardinals","1948 St. Louis Cardinals",1948,"STL","STL",523,155
"769"," Boston Braves","1949 Boston Braves",1949,"BSN","ATL",656,157
"770"," St. Louis Browns","1949 St. Louis Browns",1949,"SLB","BAL",700,155
"771"," Boston Red Sox","1949 Boston Red Sox",1949,"BOS","BOS",510,155
"772"," Chicago Cubs","1949 Chicago Cubs",1949,"CHC","CHC",573,154
"773"," Chicago White Sox","1949 Chicago White Sox",1949,"CHW","CHW",593,154
"774"," Cincinnati Reds","1949 Cincinnati Reds",1949,"CIN","CIN",559,156
"775"," Cleveland Indians","1949 Cleveland Indians",1949,"CLE","CLE",534,154
"776"," Detroit Tigers","1949 Detroit Tigers",1949,"DET","DET",501,155
"777"," Brooklyn Dodgers","1949 Brooklyn Dodgers",1949,"BRO","LAD",570,156
"778"," Washington Senators","1949 Washington Senators",1949,"WSH","MIN",494,154
"779"," New York Yankees","1949 New York Yankees",1949,"NYY","NYY",539,155
"780"," Philadelphia Athletics","1949 Philadelphia Athletics",1949,"PHA","OAK",493,154
"781"," Philadelphia Phillies","1949 Philadelphia Phillies",1949,"PHI","PHI",670,154
"782"," Pittsburgh Pirates","1949 Pittsburgh Pirates",1949,"PIT","PIT",554,154
"783"," New York Giants","1949 New York Giants",1949,"NYG","SFG",523,156
"784"," St. Louis Cardinals","1949 St. Louis Cardinals",1949,"STL","STL",482,157
"785"," Boston Braves","1950 Boston Braves",1950,"BSN","ATL",616,156
"786"," St. Louis Browns","1950 St. Louis Browns",1950,"SLB","BAL",742,154
"787"," Boston Red Sox","1950 Boston Red Sox",1950,"BOS","BOS",580,154
"788"," Chicago Cubs","1950 Chicago Cubs",1950,"CHC","CHC",767,154
"789"," Chicago White Sox","1950 Chicago White Sox",1950,"CHW","CHW",567,156
"790"," Cincinnati Reds","1950 Cincinnati Reds",1950,"CIN","CIN",497,153
"791"," Cleveland Indians","1950 Cleveland Indians",1950,"CLE","CLE",623,155
"792"," Detroit Tigers","1950 Detroit Tigers",1950,"DET","DET",481,157
"793"," Brooklyn Dodgers","1950 Brooklyn Dodgers",1950,"BRO","LAD",632,155
"794"," Washington Senators","1950 Washington Senators",1950,"WSH","MIN",605,155
"795"," New York Yankees","1950 New York Yankees",1950,"NYY","NYY",458,155
"796"," Philadelphia Athletics","1950 Philadelphia Athletics",1950,"PHA","OAK",491,154
"797"," Philadelphia Phillies","1950 Philadelphia Phillies",1950,"PHI","PHI",569,157
"798"," Pittsburgh Pirates","1950 Pittsburgh Pirates",1950,"PIT","PIT",693,154
"799"," New York Giants","1950 New York Giants",1950,"NYG","SFG",629,154
"800"," St. Louis Cardinals","1950 St. Louis Cardinals",1950,"STL","STL",604,153
"801"," Boston Braves","1951 Boston Braves",1951,"BSN","ATL",617,155
"802"," St. Louis Browns","1951 St. Louis Browns",1951,"SLB","BAL",692,154
"803"," Boston Red Sox","1951 Boston Red Sox",1951,"BOS","BOS",594,154
"804"," Chicago Cubs","1951 Chicago Cubs",1951,"CHC","CHC",647,155
"805"," Chicago White Sox","1951 Chicago White Sox",1951,"CHW","CHW",525,155
"806"," Cincinnati Reds","1951 Cincinnati Reds",1951,"CIN","CIN",577,155
"807"," Cleveland Indians","1951 Cleveland Indians",1951,"CLE","CLE",632,155
"808"," Detroit Tigers","1951 Detroit Tigers",1951,"DET","DET",523,154
"809"," Brooklyn Dodgers","1951 Brooklyn Dodgers",1951,"BRO","LAD",649,158
"810"," Washington Senators","1951 Washington Senators",1951,"WSH","MIN",514,154
"811"," New York Yankees","1951 New York Yankees",1951,"NYY","NYY",545,154
"812"," Philadelphia Athletics","1951 Philadelphia Athletics",1951,"PHA","OAK",564,154
"813"," Philadelphia Phillies","1951 Philadelphia Phillies",1951,"PHI","PHI",525,154
"814"," Pittsburgh Pirates","1951 Pittsburgh Pirates",1951,"PIT","PIT",615,155
"815"," New York Giants","1951 New York Giants",1951,"NYG","SFG",624,157
"816"," St. Louis Cardinals","1951 St. Louis Cardinals",1951,"STL","STL",492,155
"817"," Boston Braves","1952 Boston Braves",1952,"BSN","ATL",711,155
"818"," St. Louis Browns","1952 St. Louis Browns",1952,"SLB","BAL",717,155
"819"," Boston Red Sox","1952 Boston Red Sox",1952,"BOS","BOS",737,154
"820"," Chicago Cubs","1952 Chicago Cubs",1952,"CHC","CHC",712,155
"821"," Chicago White Sox","1952 Chicago White Sox",1952,"CHW","CHW",519,156
"822"," Cincinnati Reds","1952 Cincinnati Reds",1952,"CIN","CIN",709,154
"823"," Cleveland Indians","1952 Cleveland Indians",1952,"CLE","CLE",749,155
"824"," Detroit Tigers","1952 Detroit Tigers",1952,"DET","DET",603,156
"825"," Brooklyn Dodgers","1952 Brooklyn Dodgers",1952,"BRO","LAD",699,155
"826"," Washington Senators","1952 Washington Senators",1952,"WSH","MIN",605,157
"827"," New York Yankees","1952 New York Yankees",1952,"NYY","NYY",652,154
"828"," Philadelphia Athletics","1952 Philadelphia Athletics",1952,"PHA","OAK",558,155
"829"," Philadelphia Phillies","1952 Philadelphia Phillies",1952,"PHI","PHI",534,154
"830"," Pittsburgh Pirates","1952 Pittsburgh Pirates",1952,"PIT","PIT",724,155
"831"," New York Giants","1952 New York Giants",1952,"NYG","SFG",672,154
"832"," St. Louis Cardinals","1952 St. Louis Cardinals",1952,"STL","STL",479,154
"833"," Milwaukee Braves","1953 Milwaukee Braves",1953,"MLN","ATL",637,157
"834"," St. Louis Browns","1953 St. Louis Browns",1953,"SLB","BAL",644,154
"835"," Boston Red Sox","1953 Boston Red Sox",1953,"BOS","BOS",600,153
"836"," Chicago Cubs","1953 Chicago Cubs",1953,"CHC","CHC",746,155
"837"," Chicago White Sox","1953 Chicago White Sox",1953,"CHW","CHW",529,156
"838"," Cincinnati Reds","1953 Cincinnati Reds",1953,"CIN","CIN",701,155
"839"," Cleveland Indians","1953 Cleveland Indians",1953,"CLE","CLE",682,155
"840"," Detroit Tigers","1953 Detroit Tigers",1953,"DET","DET",602,158
"841"," Brooklyn Dodgers","1953 Brooklyn Dodgers",1953,"BRO","LAD",686,155
"842"," Washington Senators","1953 Washington Senators",1953,"WSH","MIN",604,152
"843"," New York Yankees","1953 New York Yankees",1953,"NYY","NYY",643,151
"844"," Philadelphia Athletics","1953 Philadelphia Athletics",1953,"PHA","OAK",602,157
"845"," Philadelphia Phillies","1953 Philadelphia Phillies",1953,"PHI","PHI",597,156
"846"," Pittsburgh Pirates","1953 Pittsburgh Pirates",1953,"PIT","PIT",715,154
"847"," New York Giants","1953 New York Giants",1953,"NYG","SFG",608,155
"848"," St. Louis Cardinals","1953 St. Louis Cardinals",1953,"STL","STL",617,157
"849"," Milwaukee Braves","1954 Milwaukee Braves",1954,"MLN","ATL",619,154
"850"," Baltimore Orioles","1954 Baltimore Orioles",1954,"BAL","BAL",634,154
"851"," Boston Red Sox","1954 Boston Red Sox",1954,"BOS","BOS",660,156
"852"," Chicago Cubs","1954 Chicago Cubs",1954,"CHC","CHC",693,154
"853"," Chicago White Sox","1954 Chicago White Sox",1954,"CHW","CHW",536,155
"854"," Cincinnati Redlegs","1954 Cincinnati Redlegs",1954,"CIN","CIN",645,154
"855"," Cleveland Indians","1954 Cleveland Indians",1954,"CLE","CLE",668,156
"856"," Detroit Tigers","1954 Detroit Tigers",1954,"DET","DET",603,155
"857"," Brooklyn Dodgers","1954 Brooklyn Dodgers",1954,"BRO","LAD",625,154
"858"," Washington Senators","1954 Washington Senators",1954,"WSH","MIN",719,155
"859"," New York Yankees","1954 New York Yankees",1954,"NYY","NYY",632,155
"860"," Philadelphia Athletics","1954 Philadelphia Athletics",1954,"PHA","OAK",677,156
"861"," Philadelphia Phillies","1954 Philadelphia Phillies",1954,"PHI","PHI",620,154
"862"," Pittsburgh Pirates","1954 Pittsburgh Pirates",1954,"PIT","PIT",737,154
"863"," New York Giants","1954 New York Giants",1954,"NYG","SFG",561,154
"864"," St. Louis Cardinals","1954 St. Louis Cardinals",1954,"STL","STL",586,154
"865"," Milwaukee Braves","1955 Milwaukee Braves",1955,"MLN","ATL",735,154
"866"," Baltimore Orioles","1955 Baltimore Orioles",1955,"BAL","BAL",740,156
"867"," Boston Red Sox","1955 Boston Red Sox",1955,"BOS","BOS",730,154
"868"," Chicago Cubs","1955 Chicago Cubs",1955,"CHC","CHC",806,154
"869"," Chicago White Sox","1955 Chicago White Sox",1955,"CHW","CHW",595,155
"870"," Cincinnati Redlegs","1955 Cincinnati Redlegs",1955,"CIN","CIN",657,154
"871"," Cleveland Indians","1955 Cleveland Indians",1955,"CLE","CLE",715,154
"872"," Detroit Tigers","1955 Detroit Tigers",1955,"DET","DET",581,154
"873"," Brooklyn Dodgers","1955 Brooklyn Dodgers",1955,"BRO","LAD",718,154
"874"," Washington Senators","1955 Washington Senators",1955,"WSH","MIN",651,154
"875"," New York Yankees","1955 New York Yankees",1955,"NYY","NYY",655,154
"876"," Kansas City Athletics","1955 Kansas City Athletics",1955,"KCA","OAK",718,155
"877"," Philadelphia Phillies","1955 Philadelphia Phillies",1955,"PHI","PHI",673,154
"878"," Pittsburgh Pirates","1955 Pittsburgh Pirates",1955,"PIT","PIT",652,154
"879"," New York Giants","1955 New York Giants",1955,"NYG","SFG",581,154
"880"," St. Louis Cardinals","1955 St. Louis Cardinals",1955,"STL","STL",597,154
"881"," Milwaukee Braves","1956 Milwaukee Braves",1956,"MLN","ATL",714,155
"882"," Baltimore Orioles","1956 Baltimore Orioles",1956,"BAL","BAL",725,154
"883"," Boston Red Sox","1956 Boston Red Sox",1956,"BOS","BOS",689,155
"884"," Chicago Cubs","1956 Chicago Cubs",1956,"CHC","CHC",776,157
"885"," Chicago White Sox","1956 Chicago White Sox",1956,"CHW","CHW",658,154
"886"," Cincinnati Redlegs","1956 Cincinnati Redlegs",1956,"CIN","CIN",760,155
"887"," Cleveland Indians","1956 Cleveland Indians",1956,"CLE","CLE",764,155
"888"," Detroit Tigers","1956 Detroit Tigers",1956,"DET","DET",618,155
"889"," Brooklyn Dodgers","1956 Brooklyn Dodgers",1956,"BRO","LAD",738,154
"890"," Washington Senators","1956 Washington Senators",1956,"WSH","MIN",877,155
"891"," New York Yankees","1956 New York Yankees",1956,"NYY","NYY",755,154
"892"," Kansas City Athletics","1956 Kansas City Athletics",1956,"KCA","OAK",725,154
"893"," Philadelphia Phillies","1956 Philadelphia Phillies",1956,"PHI","PHI",673,154
"894"," Pittsburgh Pirates","1956 Pittsburgh Pirates",1956,"PIT","PIT",752,157
"895"," New York Giants","1956 New York Giants",1956,"NYG","SFG",659,154
"896"," St. Louis Cardinals","1956 St. Louis Cardinals",1956,"STL","STL",622,156
"897"," Milwaukee Braves","1957 Milwaukee Braves",1957,"MLN","ATL",729,155
"898"," Baltimore Orioles","1957 Baltimore Orioles",1957,"BAL","BAL",696,154
"899"," Boston Red Sox","1957 Boston Red Sox",1957,"BOS","BOS",736,154
"900"," Chicago Cubs","1957 Chicago Cubs",1957,"CHC","CHC",989,156
"901"," Chicago White Sox","1957 Chicago White Sox",1957,"CHW","CHW",744,155
"902"," Cincinnati Redlegs","1957 Cincinnati Redlegs",1957,"CIN","CIN",752,154
"903"," Cleveland Indians","1957 Cleveland Indians",1957,"CLE","CLE",783,153
"904"," Detroit Tigers","1957 Detroit Tigers",1957,"DET","DET",641,154
"905"," Brooklyn Dodgers","1957 Brooklyn Dodgers",1957,"BRO","LAD",848,154
"906"," Washington Senators","1957 Washington Senators",1957,"WSH","MIN",731,154
"907"," New York Yankees","1957 New York Yankees",1957,"NYY","NYY",707,154
"908"," Kansas City Athletics","1957 Kansas City Athletics",1957,"KCA","OAK",761,154
"909"," Philadelphia Phillies","1957 Philadelphia Phillies",1957,"PHI","PHI",758,156
"910"," Pittsburgh Pirates","1957 Pittsburgh Pirates",1957,"PIT","PIT",733,155
"911"," New York Giants","1957 New York Giants",1957,"NYG","SFG",669,154
"912"," St. Louis Cardinals","1957 St. Louis Cardinals",1957,"STL","STL",672,154
"913"," Milwaukee Braves","1958 Milwaukee Braves",1958,"MLN","ATL",646,154
"914"," Baltimore Orioles","1958 Baltimore Orioles",1958,"BAL","BAL",731,154
"915"," Boston Red Sox","1958 Boston Red Sox",1958,"BOS","BOS",820,155
"916"," Chicago Cubs","1958 Chicago Cubs",1958,"CHC","CHC",853,154
"917"," Chicago White Sox","1958 Chicago White Sox",1958,"CHW","CHW",669,155
"918"," Cincinnati Redlegs","1958 Cincinnati Redlegs",1958,"CIN","CIN",765,154
"919"," Cleveland Indians","1958 Cleveland Indians",1958,"CLE","CLE",819,153
"920"," Detroit Tigers","1958 Detroit Tigers",1958,"DET","DET",678,154
"921"," Los Angeles Dodgers","1958 Los Angeles Dodgers",1958,"LAD","LAD",850,154
"922"," Washington Senators","1958 Washington Senators",1958,"WSH","MIN",751,156
"923"," New York Yankees","1958 New York Yankees",1958,"NYY","NYY",818,155
"924"," Kansas City Athletics","1958 Kansas City Athletics",1958,"KCA","OAK",747,156
"925"," Philadelphia Phillies","1958 Philadelphia Phillies",1958,"PHI","PHI",871,154
"926"," Pittsburgh Pirates","1958 Pittsburgh Pirates",1958,"PIT","PIT",753,154
"927"," San Francisco Giants","1958 San Francisco Giants",1958,"SFG","SFG",817,154
"928"," St. Louis Cardinals","1958 St. Louis Cardinals",1958,"STL","STL",637,154
"929"," Milwaukee Braves","1959 Milwaukee Braves",1959,"MLN","ATL",765,157
"930"," Baltimore Orioles","1959 Baltimore Orioles",1959,"BAL","BAL",690,155
"931"," Boston Red Sox","1959 Boston Red Sox",1959,"BOS","BOS",810,154
"932"," Chicago Cubs","1959 Chicago Cubs",1959,"CHC","CHC",911,155
"933"," Chicago White Sox","1959 Chicago White Sox",1959,"CHW","CHW",634,156
"934"," Cincinnati Redlegs","1959 Cincinnati Redlegs",1959,"CIN","CIN",763,154
"935"," Cleveland Indians","1959 Cleveland Indians",1959,"CLE","CLE",721,154
"936"," Detroit Tigers","1959 Detroit Tigers",1959,"DET","DET",735,154
"937"," Los Angeles Dodgers","1959 Los Angeles Dodgers",1959,"LAD","LAD",891,156
"938"," Washington Senators","1959 Washington Senators",1959,"WSH","MIN",881,154
"939"," New York Yankees","1959 New York Yankees",1959,"NYY","NYY",828,155
"940"," Kansas City Athletics","1959 Kansas City Athletics",1959,"KCA","OAK",780,154
"941"," Philadelphia Phillies","1959 Philadelphia Phillies",1959,"PHI","PHI",858,155
"942"," Pittsburgh Pirates","1959 Pittsburgh Pirates",1959,"PIT","PIT",715,155
"943"," San Francisco Giants","1959 San Francisco Giants",1959,"SFG","SFG",875,154
"944"," St. Louis Cardinals","1959 St. Louis Cardinals",1959,"STL","STL",747,154
"945"," Milwaukee Braves","1960 Milwaukee Braves",1960,"MLN","ATL",793,154
"946"," Baltimore Orioles","1960 Baltimore Orioles",1960,"BAL","BAL",800,154
"947"," Boston Red Sox","1960 Boston Red Sox",1960,"BOS","BOS",799,154
"948"," Chicago Cubs","1960 Chicago Cubs",1960,"CHC","CHC",897,156
"949"," Chicago White Sox","1960 Chicago White Sox",1960,"CHW","CHW",648,154
"950"," Cincinnati Reds","1960 Cincinnati Reds",1960,"CIN","CIN",858,154
"951"," Cleveland Indians","1960 Cleveland Indians",1960,"CLE","CLE",571,154
"952"," Detroit Tigers","1960 Detroit Tigers",1960,"DET","DET",728,154
"953"," Los Angeles Dodgers","1960 Los Angeles Dodgers",1960,"LAD","LAD",837,154
"954"," Washington Senators","1960 Washington Senators",1960,"WSH","MIN",883,154
"955"," New York Yankees","1960 New York Yankees",1960,"NYY","NYY",818,155
"956"," Kansas City Athletics","1960 Kansas City Athletics",1960,"KCA","OAK",744,155
"957"," Philadelphia Phillies","1960 Philadelphia Phillies",1960,"PHI","PHI",1054,154
"958"," Pittsburgh Pirates","1960 Pittsburgh Pirates",1960,"PIT","PIT",747,155
"959"," San Francisco Giants","1960 San Francisco Giants",1960,"SFG","SFG",846,156
"960"," St. Louis Cardinals","1960 St. Louis Cardinals",1960,"STL","STL",792,155
"961"," Los Angeles Angels","1961 Los Angeles Angels",1961,"LAA","ANA",1068,162
"962"," Milwaukee Braves","1961 Milwaukee Braves",1961,"MLN","ATL",880,155
"963"," Baltimore Orioles","1961 Baltimore Orioles",1961,"BAL","BAL",902,163
"964"," Boston Red Sox","1961 Boston Red Sox",1961,"BOS","BOS",846,163
"965"," Chicago Cubs","1961 Chicago Cubs",1961,"CHC","CHC",1027,156
"966"," Chicago White Sox","1961 Chicago White Sox",1961,"CHW","CHW",612,163
"967"," Cincinnati Reds","1961 Cincinnati Reds",1961,"CIN","CIN",761,154
"968"," Cleveland Indians","1961 Cleveland Indians",1961,"CLE","CLE",720,161
"969"," Detroit Tigers","1961 Detroit Tigers",1961,"DET","DET",865,163
"970"," Los Angeles Dodgers","1961 Los Angeles Dodgers",1961,"LAD","LAD",796,154
"971"," Minnesota Twins","1961 Minnesota Twins",1961,"MIN","MIN",840,161
"972"," New York Yankees","1961 New York Yankees",1961,"NYY","NYY",785,163
"973"," Kansas City Athletics","1961 Kansas City Athletics",1961,"KCA","OAK",770,162
"974"," Philadelphia Phillies","1961 Philadelphia Phillies",1961,"PHI","PHI",928,155
"975"," Pittsburgh Pirates","1961 Pittsburgh Pirates",1961,"PIT","PIT",721,154
"976"," San Francisco Giants","1961 San Francisco Giants",1961,"SFG","SFG",764,155
"977"," St. Louis Cardinals","1961 St. Louis Cardinals",1961,"STL","STL",745,155
"978"," Washington Senators","1961 Washington Senators",1961,"WSA","TEX",917,161
"979"," Los Angeles Angels","1962 Los Angeles Angels",1962,"LAA","ANA",917,162
"980"," Milwaukee Braves","1962 Milwaukee Braves",1962,"MLN","ATL",975,162
"981"," Baltimore Orioles","1962 Baltimore Orioles",1962,"BAL","BAL",931,162
"982"," Boston Red Sox","1962 Boston Red Sox",1962,"BOS","BOS",923,160
"983"," Chicago Cubs","1962 Chicago Cubs",1962,"CHC","CHC",1044,162
"984"," Chicago White Sox","1962 Chicago White Sox",1962,"CHW","CHW",674,162
"985"," Cincinnati Reds","1962 Cincinnati Reds",1962,"CIN","CIN",903,162
"986"," Cleveland Indians","1962 Cleveland Indians",1962,"CLE","CLE",939,162
"987"," Detroit Tigers","1962 Detroit Tigers",1962,"DET","DET",894,161
"988"," Houston Colt .'s","1962 Houston Colt .45's",1962,"HOU","HOU",806,162
"989"," Los Angeles Dodgers","1962 Los Angeles Dodgers",1962,"LAD","LAD",886,165
"990"," Minnesota Twins","1962 Minnesota Twins",1962,"MIN","MIN",823,163
"991"," New York Mets","1962 New York Mets",1962,"NYM","NYM",991,161
"992"," New York Yankees","1962 New York Yankees",1962,"NYY","NYY",842,162
"993"," Kansas City Athletics","1962 Kansas City Athletics",1962,"KCA","OAK",803,162
"994"," Philadelphia Phillies","1962 Philadelphia Phillies",1962,"PHI","PHI",923,161
"995"," Pittsburgh Pirates","1962 Pittsburgh Pirates",1962,"PIT","PIT",836,161
"996"," San Francisco Giants","1962 San Francisco Giants",1962,"SFG","SFG",822,165
"997"," St. Louis Cardinals","1962 St. Louis Cardinals",1962,"STL","STL",846,163
"998"," Washington Senators","1962 Washington Senators",1962,"WSA","TEX",789,162
"999"," Los Angeles Angels","1963 Los Angeles Angels",1963,"LAA","ANA",916,161
"1000"," Milwaukee Braves","1963 Milwaukee Braves",1963,"MLN","ATL",954,163
"1001"," Baltimore Orioles","1963 Baltimore Orioles",1963,"BAL","BAL",940,162
"1002"," Boston Red Sox","1963 Boston Red Sox",1963,"BOS","BOS",954,161
"1003"," Chicago Cubs","1963 Chicago Cubs",1963,"CHC","CHC",1049,162
"1004"," Chicago White Sox","1963 Chicago White Sox",1963,"CHW","CHW",896,162
"1005"," Cincinnati Reds","1963 Cincinnati Reds",1963,"CIN","CIN",960,162
"1006"," Cleveland Indians","1963 Cleveland Indians",1963,"CLE","CLE",1102,162
"1007"," Detroit Tigers","1963 Detroit Tigers",1963,"DET","DET",908,162
"1008"," Houston Colt .'s","1963 Houston Colt .45's",1963,"HOU","HOU",938,162
"1009"," Los Angeles Dodgers","1963 Los Angeles Dodgers",1963,"LAD","LAD",867,163
"1010"," Minnesota Twins","1963 Minnesota Twins",1963,"MIN","MIN",912,161
"1011"," New York Mets","1963 New York Mets",1963,"NYM","NYM",1078,162
"1012"," New York Yankees","1963 New York Yankees",1963,"NYY","NYY",808,161
